mobile phone name,classification,total reviews,positive reviews,negative reviews
ihunt note 20 apex 2021,1,3,3,1
ihunt s10 tank pro 2020,1,27,23,5
ihunt s20 plus apex 2021,0,15,7,8
ihunt s20 ultra apex 2021,1,28,24,5
ihunt s60 discovery 2019,1,21,18,4
ihunt titan p11000 pro 2021,1,3,3,1
ihunt titan p13000 pro,1,32,24,9
ihunt titan p8000 pro 2021,1,13,11,3
iphone 12 pro max,1,2,2,1
karbonn aura,1,2,1,2
karbonn k110,1,3,3,1
karbonn k22,1,3,1,3
karbonn titanium mach 2 s360,1,5,3,3
karbonn titanium s8,1,12,8,5
kruger&matz live 5+,1,1,1,1
kruger&matz move8,0,2,2,1
leagoo m13,1,26,18,9
leagoo xrover c,0,11,7,5
lg g5,1,28,26,3
lg g6,1,120,101,20
lg g8s thinq,1,26,23,4
lg g8x thinq,1,1,0,1
lg k20,1,6,5,1
lg k22,1,2,2,1
lg k40s,1,1,1,1
lg k50,1,1,1,1
lg k51s,1,2,2,1
lg k61,1,10,9,2
lg k9 lmx210 (2018),1,2,2,1
lg q60,1,27,25,2
lg q6,1,29,27,3
lg q7,1,8,6,3
lg q stylus,1,1,1,1
lg v30,1,72,60,13
lg v30 plus,1,2,2,1
lg velvet,1,3,3,1
maxcom 461,1,1,1,1
maxcom classic mk241,1,4,3,2
maxcom classic mm134,1,1,1,1
maxcom classic mm135,1,8,7,2
maxcom classic mm141,0,3,1,2
maxcom classic mm236,1,14,11,3
maxcom classic mm330,1,20,20,1
maxcom comfort mm35d,1,4,4,1
maxcom comfort mm428,1,25,18,8
maxcom comfort mm462 senior,1,8,5,4
maxcom comfort mm721,1,133,109,24
maxcom comfort mm817,1,11,10,2
maxcom comfort mm818,1,12,9,4
maxcom mm142,1,1,1,1
maxcom mm238,1,4,4,1
maxcom mm471,1,2,1,2
maxcom mm720bb,1,24,19,5
maxcom strong mm916,1,26,22,5
maxcom strong mm920,1,19,16,4
media-tech 2phone mt857,0,3,1,2
meizu m6t,1,1,1,1
meizu m8,1,2,2,1
mobiwire ayasha,1,4,3,2
motorola e6s,1,3,2,2
motorola edge,1,5,5,1
motorola moto e5 play,0,1,1,1
motorola moto e6s (2020),1,1,1,1
motorola moto e6 play,1,5,5,1
motorola moto e7 plus,1,2,2,1
motorola moto g7 play,1,1,1,1
motorola moto g8 plus,1,10,9,1
motorola moto g8 power,1,7,7,1
motorola moto g8 power lite,1,6,5,1
motorola moto g9 play,1,2,2,1
motorola moto g9 plus,1,1,1,1
motorola moto one macro,1,3,3,1
motorola moto one zoom,1,2,0,2
motorola razr,1,3,1,2
myphone 3330,1,1,1,1
myphone 6310,1,2,2,1
myphone city 2,1,2,2,1
myphone halo2,1,22,16,7
myphone halo easy,1,5,4,2
myphone halo q+,1,1,1,1
myphone hammer 3,0,4,2,2
myphone hammer 5 smart,1,3,2,2
myphone maestro+,1,1,1,1
myphone patriot+,1,2,2,1
myphone pocket pro,0,1,0,1
myria senior my9071bk,1,2,1,1
nokia 105 (2017),1,124,101,24
nokia 105 (2019),1,115,92,24
nokia 106,1,2,2,1
nokia 150 (2020),1,8,8,1
nokia 150,1,74,56,19
nokia 1 plus,1,19,12,8
nokia 210 (2019),1,2,1,1
nokia 210,1,34,29,5
nokia 216,1,124,109,15
nokia 225,1,5,4,2
nokia 230,1,233,203,31
nokia 2720 flip,1,47,36,12
nokia 2,1,38,26,13
nokia 3310 (2017),1,117,96,22
nokia 5310 (2020),1,33,25,9
nokia 800 tough,1,18,12,6
nokia 8110,0,190,134,57
nokia c1,1,4,4,1
oneplus 7t,1,129,117,12
oneplus 7t pro,1,20,20,1
oneplus 7,1,11,8,4
oneplus 7 pro,1,15,12,4
oneplus 8t,1,38,34,5
oneplus 8,1,34,30,5
oneplus 8 pro,1,34,30,5
oneplus nord,1,95,75,21
oneplus nord n100,1,7,6,2
oneplus nord n10,1,7,7,1
oppo a12,1,73,66,8
oppo a31,1,11,9,3
oppo a72,1,19,16,4
oppo a9 2020,1,21,18,4
oppo find x2,1,6,4,3
oppo find x2 lite,1,3,3,1
oppo find x2 pro,1,1,1,1
oppo reno 3 pro,1,21,19,3
oppo reno 4z,1,2,2,1
